tensao,corrente
-0.264,0.0
-0.135,1.5e-11
0.0,4.0e-11
0.135,7.5e-11
0.220,1.0e-10
1.660,9.0e-10
4.410,2.0e-9
6.647,2.3e-9
8.907,2.5e-9
13.948,2.8e-9
17.40,2.9e-9
21.35,3.0e-9
28.91,3.4e-9
