tensao,corrente
-0.192,0.0
-0.134,5.5e-12
0.0,2.1e-11
0.134,4.3e-11
0.370,1.1e-10
1.32,5.0e-10
2.61,9.1e-10
4.688,1.2e-9
8.081,1.4e-9
15.01,1.5e-9
20.45,1.6e-9
28.9,1.7e-9
