tensao,corrente
-1.227,0.0
-1.207,0.5e-11
-1.186,1.1e-11
-1.149,2.0e-11
-1.117,2.9e-11
-1.085,4.0e-11
-1.058,5.0e-11
-1.015,6.6e-11
-0.984,8.0e-11
-0.943,1.0e-10
-0.789,2.0e-10
-0.630,3.5e-10
-0.393,7.0e-10
-0.236,1.0e-9
0.0,1.7e-9
0.136,2.2e-9
0.521,4.0e-9
0.797,6.0e-9
1.013,8.0e-9
1.215,1.0e-8
2.054,2.0e-8
4.106,4.0e-8
14.957,8.0e-8
24.51,1.0e-7
