tensao,corrente
-0.162,0.0
-0.135,1.0e-12
0.0,1.0e-11
0.135,2.4e-11
0.270,3.6e-11
0.499,9.0e-11
1.450,3.7e-10
3.08,5.6e-10
8.022,6.9e-10
13.86,7.5e-10
20.26,8.0e-10
24.11,8.2e-10
28.90,8.7e-10
