tensao,corrente
-0.413,0.0
-0.382,1.9e-12
-0.356.4.0e-12
-0.290,1.0e-11
-0.251,1.5e-11
-0.218,2.0e-11
-0.187,2.5e-11
-0.160,3.0e-11
-0.137,3.5e-11
0.0,6.8e-11
0.133,1.2e-10
0.319,2.0e-10
0.494,3.0e-10
0.651,4.0e-10
0.783,5.0e-10
0.900,6.0e-10
1.000,7.0e-10
1.084,8.0e-10
1.225,10.0e-10
1.848,2.0e-9
4.053,4.0e-9
8.390,6.0e-9
15.46,7.0e-9
30.00,7.9e-9
