tensao,corrente
-0.523,0.0
-0.518,2.1e-12
-0.514,3.1e-12
-0.509,4.0e-12
-0.504,0.5e-11
-0.482,1.0e-11
-0.463,1.5e-11
-0.443,2.0e-11
-0.427,2.5e-11
-0.411,3.0e-11
-0.397,3.5e-11
-0.389,4.0e-11
-0.376,4.5e-11
-0.366,5.0e-11
-0.312,8.0e-11
-0.285,1.0e-10
-0.161,2.0e-10
0.0,4.0e-10
0.134,6.0e-10
0.193,7.0e-10
0.246,8.0e-10
0.293,9.0e-10
0.316,1.0e-9
0.722,2.0e-9
1.220,4.0e-9
1.572,6.0e-9
2.011,8.0e-9
2.520,1.0e-8
6.658,2.0e-8
21.51,3.0e-8
26.63,3.2e-8
