tensao,corrente
-0.657,0.0
-0.194,1.3e-12
-0.139,2.9e-12
0.0,7.5e-12
0.139,1.3e-11
0.309,2.2e-11
0.429,3.0e-11
0.597,4.0e-11
0.735,5.2e-11
0.906,7.0e-11
1.071,9.0e-11
1.815,2.0e-10
3.210,3.7e-10
4.617,5.1e-10
7.763,6.8e-10
8.910,8.0e-10
14.287,9.7e-10
17.467,1.0-9
20.20,1.1e-9
24.00,1.2e-9
30.74,1.2e-9
