tensao,corrente
-0.583,0.0
-0.501,2.0e-12
-0.437,0.3e-11
-0.253,0.5e-11
-0.135,1.0e-11
0.000,1.5e-11
0.135,2.0e-11
0.212,2.4e-11
0.345,3.0e-11
0.464,3.4e-11
0.532,4.2e-11
0.575,4.5e-11
0.963,8.0e-11
1.104,1.0e-10
1.800,2.0e-10
3.381,4.0e-10
5.840,6.0e-10
9.204,8.0e-10
15.569,1.0e-9
25.26,1.2e-9
