tensao,corrente
-0.953,0.0
-0.436,1.0e-12
-0.346,1.3e-12
-0.308,1.5e-12
-0.274,2.0e-12
-0.216,3.0e-12
-0.132,3.4e-12
0.0,4.4e-12
0.132,5.6e-12
0.173,6.0e-12
0.292,7.0e-12
0.370,8.0e-12
0.475,9.0e-12
0.521,1.0e-11
1.300,3.0e-11
1.845,5.0e-11
2.380,7.0e-11
3.041,9.0e-11
8.79,2.0e-10
16.066,3.0e-10
20.4,3.1e-10
22.86,3.3e-10
25.69,3.4e-10
29.90,3.5e-10
