tensao,corrente
-0.142,0.0
0.0,1.5e-11
0.142,3.5e-11
1.013,3.2e-10
2.48,8.0e-10
3.730,9.5e-10
6.300,1.0e-9
10.685,1.2e-9
17.00,1.3e-9
23.64,1.4e-9
28.9,1.4e-9
