tensao,corrente
-1.091,0.0
-1.068,6.0e-12
-1.061,1.0e-11
-1.045,1.5e-11
-1.032,2.0e-11
-1.019,2.5e-11
-0.993,3.5e-11
-0.966,4.6e-11
-0.951,5.5e-11
-0.919,7.0e-11
-0.868,1.0e-10
-0.729,2.0e-10
-0.567,4.0e-10
-0.455,6.0e-10
-0.356,8.0e-10
-0.135,1.4e-9
0.0,1.9e-9
0.135,2.4e-9
0.422,4.0e-9
0.673,6.0e-9
1.014,1.0e-8
1.660,2.0e-8
3.964,5.0e-8
8.472,8.0e-8
12.124,1.0e-7
25.95,1.2e-7
