Indice,Voltagem
455,3.03030
456,6.94037
457,10.36168
458,6.45161
459,3.03030
460,7.67351
461,10.16618
462,6.59824
463,3.32356
464,5.13196
465,9.18866
466,7.28250
467,4.00782
468,4.69208
469,7.96676
470,9.33529
471,6.59824
472,4.88759
473,6.69599
474,8.21114
475,7.08700
476,5.57185
477,6.01173
478,6.98925
479,6.59824
480,6.89150
481,6.64712
482,6.50049
483,6.40274
484,7.47801
485,7.82014
486,6.50049
487,5.47410
488,5.71847
489,7.62463
490,7.57576
491,5.18084
492,4.54545
493,8.01564
494,9.57967
495,6.10948
496,3.61681
497,4.69208
498,8.89541
499,9.57967
500,5.27859
501,3.17693
502,7.18475
503,10.55718
504,6.98925
505,3.12805
506,5.42522
507,10.26393
508,9.38416
509,4.98534
510,4.39883
511,8.99316
512,8.79765
513,4.88759
514,3.66569
515,7.91789
516,9.77517
517,6.64712
518,4.25220
519,6.79374
520,8.84653
521,6.79374
522,5.13196
523,6.06061
524,7.38025
525,7.96676
526,6.79374
527,6.06061
528,6.54936
529,7.08700
530,7.03812
531,6.89150
532,6.64712
533,6.25611
534,5.76735
535,6.94037
536,7.13587
537,5.62072
538,5.22972
539,7.67351
540,9.23754
541,6.35386
542,4.15445
543,7.47801
544,9.67742
545,7.33138
546,3.81232
547,3.91007
548,9.57967
549,9.67742
550,5.08309
551,3.22581
552,6.15836
553,10.60606
554,6.98925
555,3.12805
556,5.91398
557,9.72630
558,6.54936
559,3.12805
560,6.10948
561,10.16618
562,7.96676
563,4.25220
564,4.98534
565,8.60215
566,8.89541
567,5.57185
568,4.44770
569,6.59824
570,8.21114
571,7.96676
572,5.42522
573,5.47410
574,7.13587
575,7.67351
576,7.08700
577,6.40274
578,6.69599
579,7.13587
580,6.10948
581,6.69599
582,6.74487
583,5.91398
584,6.15836
585,7.96676
586,8.26002
587,6.15836
588,5.32747
589,8.06452
590,8.94428
591,6.74487
592,3.81232
593,5.76735
594,9.92180
595,9.04203
596,4.30108
597,3.56794
598,8.11339
599,10.21505
600,3.27468
601,4.25220
602,9.33529
603,8.30889
604,3.66569
605,3.12805
606,6.69599
607,10.26393
608,9.18866
609,3.51906
610,4.64321
611,8.01564
612,9.28641
613,4.78983
614,4.34995
615,8.26002
616,8.11339
617,6.30499
618,4.69208
619,7.33138
620,8.40665
621,5.91398
622,6.06061
623,6.94037
624,7.82014
625,7.18475
626,6.10948
627,6.45161
628,6.25611
629,6.54936
630,7.33138
631,7.86901
632,6.94037
633,5.42522
634,6.15836
635,8.45552
636,8.40665
637,5.91398
638,4.44770
639,7.86901
640,9.18866
641,6.01173
642,4.00782
643,7.42913
644,10.21505
645,7.52688
646,4.10557
647,3.91007
648,7.96676
649,10.01955
650,4.15445
651,2.93255
652,5.96285
653,10.70381
654,7.18475
655,3.27468
656,7.62463
657,10.50831
658,5.57185
659,3.66569
660,7.03812
