Indice,Voltagem
455,4.34995
456,4.83871
457,5.86510
458,6.35386
459,5.42522
460,3.81232
461,4.64321
462,6.89150
463,6.69599
464,4.49658
465,3.07918
466,4.78983
467,6.30499
468,7.33138
469,4.74096
470,2.93255
471,4.78983
472,7.72238
473,4.78983
474,3.22581
475,5.03421
476,6.79374
477,6.64712
478,4.88759
479,3.86119
480,4.83871
481,6.06061
482,6.10948
483,5.03421
484,4.44770
485,4.74096
486,5.62072
487,6.30499
488,5.52297
489,4.05670
490,4.10557
491,5.81623
492,7.03812
493,5.81623
494,3.56794
495,3.71457
496,6.64712
497,7.03812
498,4.34995
499,3.22581
500,5.91398
501,7.52688
502,5.27859
503,3.07918
504,4.39883
505,6.74487
506,6.35386
507,4.30108
508,3.76344
509,5.08309
510,6.06061
511,6.25611
512,5.18084
513,4.54545
514,4.64321
515,5.37634
516,6.10948
517,5.96285
518,4.69208
519,3.91007
520,5.32747
521,7.03812
522,6.01173
523,3.51906
524,3.61681
525,6.54936
526,7.03812
527,3.91007
528,3.07918
529,5.62072
530,7.57576
531,6.15836
532,3.56794
533,3.71457
534,6.25611
535,6.89150
536,4.44770
537,3.76344
538,5.03421
539,6.30499
540,6.20723
541,5.47410
542,4.54545
543,4.59433
544,5.37634
545,6.10948
546,6.01173
547,4.59433
548,3.95894
549,4.69208
550,6.59824
551,6.20723
552,3.91007
553,3.81232
554,6.40274
555,7.42913
556,6.06061
557,3.07918
558,3.27468
559,7.03812
560,7.42913
561,4.83871
562,3.17693
563,3.95894
564,6.35386
565,6.98925
566,5.22972
567,4.00782
568,4.20332
569,6.30499
570,5.96285
571,4.64321
572,4.44770
573,5.37634
574,5.81623
575,6.10948
576,5.37634
577,4.20332
578,4.34995
579,5.91398
580,6.84262
581,5.96285
582,3.76344
583,3.61681
584,6.45161
585,7.28250
586,5.13196
587,2.93255
588,4.93646
589,7.72238
590,5.27859
591,3.07918
592,4.69208
593,7.03812
594,6.79374
595,4.88759
596,3.61681
597,4.49658
598,6.35386
599,6.40274
600,5.22972
601,4.34995
602,4.78983
603,5.71847
604,6.10948
605,5.52297
606,4.49658
607,4.30108
608,5.52297
609,6.79374
610,6.25611
611,3.66569
612,3.91007
613,6.30499
614,7.38025
615,5.13196
616,2.98143
617,4.30108
618,7.13587
619,7.18475
620,5.18084
621,2.98143
622,5.62072
623,7.42913
624,5.62072
625,3.81232
626,4.10557
627,6.06061
628,6.59824
629,5.27859
630,4.30108
631,5.13196
632,5.96285
633,6.01173
634,4.88759
635,4.15445
636,5.03421
637,6.69599
638,6.35386
639,4.78983
640,3.47019
641,5.22972
642,7.47801
643,6.06061
644,3.61681
645,3.12805
646,5.76735
647,7.77126
648,5.91398
649,3.22581
650,3.76344
651,6.64712
652,7.28250
653,4.88759
654,3.47019
655,5.08309
656,6.79374
657,6.20723
658,4.88759
659,4.34995
660,4.88759
661,5.81623
662,6.10948
663,5.62072
664,4.49658
665,4.44770
666,5.62072
667,6.79374
668,6.10948
669,4.00782
670,3.81232
671,5.76735
672,7.42913
673,6.25611
674,3.42131
675,3.56794
676,6.74487
677,7.67351
678,4.59433
679,3.12805
680,5.71847
681,7.52688
682,5.76735
683,3.51906
684,4.15445
685,5.96285
686,6.94037
687,5.71847
688,4.34995
689,4.59433
690,5.76735
691,6.20723
692,5.81623
693,4.98534
694,4.34995
695,4.74096
696,6.15836
697,6.79374
698,5.66960
699,3.86119
700,4.30108
701,6.89150
702,7.47801
703,5.66960
704,3.27468
705,3.47019
706,6.69599
707,7.72238
708,4.25220
709,3.03030
710,5.03421
711,7.62463
712,5.42522
713,3.47019
714,5.66960
715,7.18475
716,6.94037
717,5.18084
718,4.20332
719,4.74096
720,5.22972
721,5.96285
722,6.25611
723,5.57185
724,4.54545
725,5.13196
726,6.54936
727,6.50049
728,4.30108
729,3.91007
730,6.74487
731,7.38025
732,5.03421
733,3.03030
734,5.71847
735,7.86901
736,6.50049
737,3.81232
738,3.12805
739,5.76735
740,7.72238
741,5.81623
742,3.47019
743,4.44770
744,6.54936
745,6.89150
746,5.03421
747,4.10557
748,4.93646
749,5.81623
750,6.20723
751,5.76735
752,4.93646
753,4.49658
754,5.27859
755,6.50049
756,6.59824
757,4.83871
758,3.66569
759,5.32747
760,7.42913
761,6.35386
762,3.37243
763,3.95894
764,7.08700
765,7.67351
766,4.83871
767,2.98143
768,4.54545
769,7.18475
770,7.03812
771,4.44770
772,3.47019
773,5.18084
774,6.94037
775,6.84262
776,4.93646
777,4.10557
778,5.13196
779,6.25611
780,6.10948
781,5.32747
782,4.59433
783,4.83871
784,6.06061
785,6.69599
786,5.32747
787,3.81232
788,4.78983
789,6.45161
790,7.47801
791,5.08309
792,3.12805
793,4.49658
794,7.42913
795,7.28250
796,4.30108
797,2.93255
798,4.69208
799,7.77126
800,6.01173
801,3.42131
802,4.30108
803,6.64712
804,7.28250
805,5.32747
806,4.10557
807,4.69208
808,6.06061
809,6.30499
810,5.62072
811,4.88759
812,4.69208
813,5.52297
814,6.59824
815,6.15836
816,4.39883
817,4.00782
818,5.81623
819,7.47801
820,6.10948
821,3.56794
822,3.76344
823,6.50049
824,7.91789
825,6.01173
826,3.03030
827,4.74096
828,7.18475
829,6.94037
830,3.91007
831,3.86119
832,6.40274
833,7.13587
834,5.37634
835,4.10557
836,4.78983
837,6.10948
838,6.30499
839,5.47410
840,4.88759
841,4.69208
842,5.18084
843,6.15836
844,6.59824
845,5.57185
846,4.05670
847,4.44770
848,6.59824
849,7.13587
850,4.98534
851,3.27468
852,4.78983
853,7.13587
854,7.47801
855,4.98534
856,3.07918
857,3.56794
858,6.45161
859,7.57576
860,5.32747
861,3.37243
862,4.88759
863,7.08700
864,6.89150
865,4.49658
866,4.15445
867,5.57185
868,6.40274
869,5.96285
870,5.08309
871,4.78983
872,5.08309
873,5.96285
874,6.45161
875,5.42522
876,4.10557
877,4.69208
878,6.89150
879,6.89150
880,4.44770
881,3.42131
882,5.47410
883,7.86901
884,6.50049
885,3.56794
886,3.22581
887,5.57185
888,7.82014
889,6.01173
890,3.51906
891,4.39883
892,7.03812
893,7.08700
894,4.74096
895,3.95894
896,5.42522
897,6.69599
898,5.91398
899,5.71847
900,5.08309
901,4.88759
902,5.37634
903,6.15836
904,6.25611
905,4.49658
906,4.30108
907,6.01173
908,7.23363
909,6.06061
910,3.91007
911,3.76344
912,6.25611
913,7.62463
914,4.49658
915,3.03030
916,5.76735
917,7.91789
918,6.15836
919,3.61681
920,4.25220
921,7.13587
922,7.13587
923,4.93646
924,4.05670
925,5.13196
926,6.45161
927,6.20723
928,5.22972
929,4.78983
930,5.08309
931,5.71847
932,6.30499
933,6.15836
934,4.98534
935,4.30108
936,5.62072
937,7.13587
938,5.76735
939,3.81232
940,3.91007
941,6.40274
942,7.86901
943,6.15836
944,3.37243
945,4.49658
946,7.47801
947,7.18475
948,4.64321
949,3.37243
950,5.62072
951,7.52688
952,5.96285
953,4.00782
