frequencia(MHz),U1(V),U2(V)
30.1,7.96,2.48
34.9,8.22,2.44
42.1,8.13,2.78
45.0,8.07,2.91
48.7,7.82,3.13
54.9,7.90,3.06
56.1,7.65,3.43
57.1,7.31,3.59
57.7,7.07,3.72
58.0,6.88,4.10
59.7,6.79,4.01
60.1,7.16,3.87
61.1,7.35,3.69
62.1,7.57,3.41
63.5,7.89,3.30
68.7,8.10,3.15
75.5,8.19,2.93
82.4,8.42,2.78
86.6,8.59,2.67
88.0,8.62,2.63
