frequencia(MHz),U1(V),U2(V)
45.2,8.10,2.41
51.3,7.94,2.52
53.8,7.72,2.69
60.0,7.77,2.81
61.7,7.75,3.22
63.5,7.58,3.56
64.7,7.43,3.54
65.3,7.39,3.70
65.8,7.14,3.80
66.6,6.90,4.06
68.7,7.21,3.64
70.9,7.43,2.98
74.7,7.75,2.75
80.3,8.13,2.68
