campo Magnético (mT),corrente (A),frequencia (MHz)
0.72,0.583,30.2
0.83,0.677,35.0
0.94,0.767,40.0
1.00,0.864,45.1
1.22,0.954,50.3
1.35,1.052,55.3
1.42,1.147,60.3
1.64,1.244,65.4
1.70,1.360,71.4
