resistencia(temperatura),temperatura,tensão,corrente(mA)
112.254,31.0,0.3,11.48
118.0,38.9,0.31,10.4
125.0,49.4,0.313,10.987
129.0,58.5,0.311,10.16
136.2,71.0,0.302,12.2
140.0,79.4,0.291,14.57
147.0,98.0,0.256,22.11
153.0,111.0,0.225,28.66
