resistencia(temperatura) ,temperatura ,tensão ,corrente
                 112.254 ,       31.0 , 0.3   ,      0.01148
                 118.0   ,       38.9 , 0.31  ,      0.0104
                 125.0   ,       49.4 , 0.313 ,      0.010987
                 129.0   ,       58.5 , 0.311 ,      0.01016
                 136.2   ,       71.0 , 0.302 ,      0.0122
                 140.0   ,       79.4 , 0.291 ,      0.01457
                 147.0   ,       98.0 , 0.256 ,      0.02211
                 153.0   ,      111.0 , 0.225 ,      0.02866
