tensao,corrente(mA)
0.0031,0.0
0.0575,5.5e-3
0.1000,9.7e-3
0.1567,1.53e-2
0.2136,2.1e-2
0.3157,3.12e-2
0.4358,4.31e-2
0.4986,4.94e-2
0.5658,5.60e-2
0.6307,6.25e-2
