tensao,corrente(mA)
0.1695,-3e-4
0.3987,2e-4
0.4193,8e-4
0.4284,1.3e-3
0.4409,2.5e-3
0.4567,5e-3
0.4710,9.5e-3
0.4744,1.13e-2
0.4810,1.5e-2
0.4876,2.02e-2
0.4984,3.26e-2
0.5,3.58e-2
