tensao,corrente(mA)
0.0054,3e-4
0.0283,2.5e-3
0.1196,1.15e-2
0.2352,2.3e-2
0.3667,3.6e-2
0.4174,4.1e-2
0.4480,4.4e-2
0.5110,5.03e-2
0.5614,5.52e-2
0.6,5.9e-2
0.6540,6.44e-2
