tensao,corrente(mA)
0.0425,4e-3
0.1086,1.05e-2
0.1610,1.57e-2
0.2701,2.66e-2
0.3830,3.78e-2
0.4088,4.04e-2
0.4613,4.56e-2
0.5029,4.97e-2
0.5550,5.5e-2
