tensao,corrente(mA)
0,-3e-4
0.2770,2e-4
0.2980,8e-4
0.3119,1.6e-3
0.3394,4.9e-3
0.3569,9.7e-3
0.3721,1.72e-2
0.3948,4.05e-2
0.4080,6.63e-2
0.4143,8.38e-2
0.4221,1.126e-1
0.4302,1.526e-1
0.4497,3.134e-1
0.4785,9.035e-1
0.4933,1.5587
0.5,2.0518
