tensao,corrente(mA)
0.0044,2e-4
0.0548,5.2e-3
0.1008,9.8e-3
0.2034,2.0e-2
0.2823,2.78e-2
0.3468,3.42e-2
0.4140,4.08e-2
0.4870,4.81e-2
0.5702,5.64e-2
0.6310,6.24e-2
