tensao,corrente(mA)
0,-2e-4
0.1621,-2e-4
0.2782,0.0
0.3209,3e-4
0.3432,1e-3
0.36,2.1e-3
0.3752,3.9e-3
0.3842,5.6e-3
0.3990,1e-2
0.4053,1.29e-2
0.4127,1.73e-2
0.4256,2.86e-2
0.4345,4.04e-2
0.4480,6.85e-2
0.472,1.729e-1
0.4891,3.347e-1
0.5,5.068e-1
