tensao,corrente(mA)
0,-3e-4
0.1459,1e-4
0.1735,8e-4
0.2149,4e-3
0.2355,8.4e-3
0.2543,1.6e-2
0.2610,2.4e-2
0.2770,3.52e-2
0.3112,1.086e-1
0.3218,1.555e-1
0.3280,1.923e-1
0.3754,9.004e-1
0.3949,1.6869
0.4033,2.2376
