tensao,corrente(mA)
0,3e-4
0.3740,2e-4
0.4016,1.3e-3
0.4155,2.5e-3
0.4307,4.8e-3
0.4425,7.9e-3
0.4507,1.11e-2
0.4558,1.36e-2
0.4667,2.15e-2
0.4757,3.07e-2
0.4802,3.67e-2
0.4866,4.77e-2
0.4933,6.42e-2
0.4972,7.72e-2
0.5,8.52e-2
