resistencia(temperatura),temperatura,tensão,corrente(mA)
109.855,25.7,0.384,10.23
116.5,39.0,0.387,9.48
121.15,48.4,0.389,9.17
124.8,54.7,0.389,9.03
131.7,68.9,0.385,9.96
136.0,77.8,0.38,11.15
140.0,86.5,0.37,13.5
145.0,98.1,0.364,14.37
